id,VillageName
1,Khairi Hamira
2,Jamuniya Bhura
3,Bamhori
4,Mohli Bharat
5,Richheda
6,Khamra Adku
7,Ghoghri
8,Mehlon
9,Rapha
10,Sarasdol Mal
11,Sarasdol Ryt.
12,Pathar Kuti
13,Purtala
14,Bandhi
15,Lahagadua
16,Nandanwadi
17,Pipardhana
18,Bahmanwada
19,Rangpur
20,Sejawada Khurd
21,Sonpur
22,Kahua
23,Dhoda Kuhi
24,Dighawani
25,Sajwa
26,Umariya
27,Charan Khapa
28,Jhirpani
29,Baheriya
30,Banki
31,Latgaon
32,Sariyapani
33,Kubdi
34,Ghat Pipariya
35,Chimauwa
36,Tendni Mal.
37,Tendni Ryt.
38,Dhabai
39,Nandori
40,Dhadara
41,Mohali
42,Rahiwada
43,Lachhua
44,Saliwada Sani
45,Gadha Chhota
46,Patniya
47,Badegaon
48,Babai
49,Sagonia
50,Kolhiya
51,Banka Mukasa
52,Bhajiya
53,Mandangarh
54,Nandoura
55,Rajoula
56,Singodi
57,Khakra Chourai
58,Guraiya
59,Pindarai Dabir
60,Mehandwada
61,Khami Hira
62,Bangla Mal.
63,Bangla Ryt.
64,Manegaon
65,Aklama
66,Kursipar
67,Pipariya Gumani
68,Bandra
69,Kudwari
70,Kosmi
71,Gagori
72,Jhagdaboh
73,Bardhiya
74,Hatoda
75,Kopakhada
76,Chaneri
77,Chikhli Mukasa
78,Ponari
79,Hiwara Sani
80,Khamra Rajaram
81,Pipariya Rajguru
82,Sukhari Kalan
83,Sukhari Khurd
84,Karbdol
85,Kondra
86,Pipariya Bharti
87,Seja
88,Haran Bhata
89,Charna
90,Dulara
91,Dhanda
92,Borimal
93,Bori Raiyatwari
94,Churka
95,Jungawada
96,Petdeori
97,Bandhani
98,Chargaon
99,Thavri Khurd
100,Barah Hira
101,Barah Hira Ryt.
102,Bhaji Pani
103,Deori Gangaram
104,Dhasanwada
105,Lakhanwada
106,Lahgaduwa
107,Simariya
108,Keolari Jagannath
109,Ghugharla Kalan
110,Ghugharla Khurd
111,Pipariya Manu
112,Putarra
113,Dungariya Raiyatwari
114,Chandangaon
115,Chikhli Kalan
116,Paunar
117,Chhui
118,Chhuwadei
119,Hingpani
120,Thawri Kalan
121,Ranikamat
122,Sakarwada
123,Khami
124,Saliwada Sharda
125,Hirri Mukasa
126,Dhaturiya
127,Bineki
128,Sahkari
129,Jhilmili
130,Pipariya Birsa
131,Markawada
132,Saliwada Ghat
133,Kekda
134,Lingpani
135,Umariya
136,Khireti
137,Chargaon
138,Badela
139,Bilhera
140,Gadha Daryaw
141,Gadarwada
142,Jungawadi
143,Bicchhua
144,Simariya Multani
145,Hirri
146,Chandgaon
147,Diwangaon
148,Vervan
149,Jawahargaon
150,Janglikheda
151,Badosa
152,Sahanwari
153,Bhutan Sawangi
154,Devnadi
155,Lohangi
156,Mohgoan Khurd
157,Chiwri
158,Gungi Dawami
159,Radhadevi Bisa
160,Radhadevi Dawami
161,Ghotni
162,Dangariya
163,Mohpani Mal.
164,Mohpani Bisa
165,Gulsi
166,Kunda Raitwari
167,Khadabeli
168,Bhimal Gondi
169,Paniyari
170,Jamalpani
171,Palatara
172,Majiyapar
173,Ambakuhi
174,Zamata
175,Samarboh
176,Panathawari Mal.
177,Panathawari Raiytwari
178,Goni
179,Gonawadi
180,Bichhua
181,Loharbatri
182,Jamuniya Kalan
183,Ulhawadi
184,Murra
185,Karel
186,Malhanwada
187,Sherpapada
188,Doklikalan
189,Aklma
190,Khairimali
191,Dokli Khurd
192,Surangi
193,Kurai
194,Puntra
195,Gummach Khamariya
196,Datla
197,Khamara
198,Dongargaon Khurd
199,Pipariya Khurd
200,Kisanpur
201,Bachchakuhi
202,Dhamniya
203,Bachchakuhi Raitwari
204,Pipariya Kalan
205,Kekada
206,Gawari Mal.
207,Jungawani
208,Sagar
209,Gawari Raitwari
210,Panjara Dola
211,Kanhasagar
212,Thota Mal
213,Thota Raitwari
214,Naharjhir
215,Pathari
216,Bandhamal
217,Bandha Raitwari
218,Pathara Khurd
219,Gumatara
220,Moya
221,Umariya
222,Khamariya Mal.
