id,city
0,ansuli
1,semari
2,malaua
3,puranpura
4,porsa
5,jauri
6,simariya
7,bisae pura
8,mahadua
9,ganesh pura
10,udi
11,baisora
12,nogawan
13,nayagaon
14,bhadraua
15,pura daboh
16,bodar
17,rakhra
18,padri kalan
19,sohan
20,dalpatpura
21,salon bhitari
22,dhound
23,kadura
24,telgaon
25,syora
26,karra
27,ahrora
28,rajpura
29,barka
30,richhoura
31,baghanpura
32,udina
33,kherideo
34,patan govind
35,ahroni
36,bhalka
37,kashipur
38,kamlapuri
39,tedot
40,bhitari
41,hasan pur
42,imaliya
43,tantana
44,hardai
45,dhan pipri
46,intarora
47,tilhera
48,rampura
49,kutauli
50,bisal pura
51,natarra
52,ingui
53,sikri
54,badera sopan
55,pandokhar
56,tor
57,ramner
58,deori khurd
59,saujana
60,khiriya alam
61,gudaha
62,chandani
63,kurgaon
64,ghanshyam pur
65,bindwa
66,bad kachhari
67,sakatpura
68,bilheti
69,touri
70,bhedpura
71,maithana pahuj
72,lahar haveli
73,dhanoti
74,khiriya kadoor
75,pura bilheti
76,mangroli
77,sadka
78,bagdehi
79,simthara
80,dharampura
81,deora
82,barcholi
83,kyolari
84,sukalhari
85,softa
86,chandrol
87,sunri
88,nadiya
89,khiriya gopi
90,singhpura
91,chhachh pura
92,khiriya faijulla
93,chhan
94,godan
95,maithana pali
96,charrai
97,soda
98,semaha
99,sahjora
100,pathara narayan
101,ajitpura
102,bagpura
103,tighra kalan
104,khiriya riyasat
105,madhopura
106,torpatharra
107,bichhreta
108,berachh
109,atari kheda
110,malgujar
111,raipur
112,badera haveli
113,barana
114,dali pura
115,ramgarh
116,sikandarpur
117,hasari bhander
118,tatarpur
119,tukda tori
120,gaddi pur
121,alapur
122,kabulpur
123,chak abdu
124,kanera
125,chak pir khan
126,hansa pur
127,baija para
128,bharroli
129,salon bharroli
130,khiriya jhansi
131,bagda
132,lidhora haveli
133,piprauakhurd
134,dalpatpur
135,kudila
136,benda
137,kulariya
138,bedhari
139,nobai
140,khiriya sahab
141,piprauakalan
142,nichroli
143,pyawal
144,dhamna
145,sarsai
146,astot astot
147,muriya muria
148,kumariya raj
149,mustara
150,sentol
151,saletara
152,kaimara
153,bichhodana
154,kotra
155,gora
156,guliyapura
157,pachokhara
158,badonkalan
159,dangra
160,hinotiya
161,bhilla
162,chirol
163,orina
164,ghughsi
165,hidora
166,sijora
167,khiriya
168,kurthara
169,jonhar
170,karra
171,bhadumra
172,pitsura
173,kamthara
174,chakkabu
175,bhairar
176,pachara
177,govindpur
178,ramsagar
179,jakhoriya
180,ghutari
181,vijaipur
182,richhari
183,murera
184,mahewa
185,rampura dang
186,mudeni
187,sitapur
188,taraua
189,samroli
190,sinawal
191,sewni
192,sunar
193,bhiti
194,erai
195,saipura
196,bargaon
197,raipura
198,bamrol
199,rawari
200,nandpur
201,uprain
202,dabrabag
203,malokpahadi
204,behruka
205,badera
206,banoli
207,baroy
208,dongarpur
209,lidhora
210,mahua
211,gada
212,pahodi
213,budheda
214,chitupura
215,gadhi
216,sirol
217,jhadiya
218,richhara
219,govindnagar
220,ramnagar
221,chakramsagar
222,nichroli
223,chopra
224,agora
225,durgapur
226,anjani
227,kalipahad
228,bajni
229,chituwa
230,rawatpura
231,gandhari
232,lamaycha
233,larayta
234,phulra
235,kalapahad
236,pagra
237,hamirpura
238,dimankikund
239,dagurai
240,makoni
241,khaitola
242,khairi
243,rajapur
244,maharajpura
245,chakbahadurpur
246,niraval
247,bhawanipur
248,bidaniya
249,bahadurpur
250,reda
251,kumhedi
252,kevlari
253,raduapura
254,kalipura
255,letra
256,sindhwari
257,semai
258,akola
259,nayagaon
260,suketa
261,raon
262,chiroli
263,radhapur
264,bhitora
265,chakchandewa
266,syari
267,ikara
268,janakpur
269,dhawari
270,govindgarh
271,dabribhat
272,pathra
273,aser
274,bhadevara
275,sadwara
276,penta
277,mohanpur
278,kakarua
279,imaliya
280,bikar
281,khireyaghoghu
282,mawai
283,sabdalpur
284,badanpur
285,buhara
286,gadri
287,rajora
288,devpura
289,kuretha
290,deguwanchamar
291,bhoy
292,chakora
293,danda
294,palinoor
295,guda
296,kalyanpurabujurg
297,khiriyakhodas
298,nadai
299,kumharra
300,sujed
301,dubah
302,charbara
303,mangalpur
304,karkhara
305,dursara
306,dera
307,diswar
308,malkhanpur
309,baswaha
310,daryapur
311,kuakheda
312,sasuti
313,bhula
314,bijanpura
315,kusauli
316,khiriyakabir
317,sikaua
318,devra
319,richhar
320,dabardona
321,gulmau
322,khiriyanai
323,kalyanpurakhurd
324,kamad
325,simariya
326,kumhariyachhewlari
327,nargarh
328,targuwan
329,unao
330,gujarra
331,ghislani
332,jhalmau
333,parasari
334,sersa
335,lalauwa
336,gharawa
337,taga
338,nareta
339,chirula
340,bilhar
341,kararikhurd
342,kamrari
343,banvas
344,pakhra
345,sihuli
346,johariya
347,katili
348,ganeshkheda
349,hatlav
350,kakoda
351,jaitpur
352,bardhuwan
353,sankuli
354,nayakheda
355,kandhari
356,urdana
357,parakheda
358,mudra
359,gudariya
360,janakpur
361,manikpur
362,makdari
363,maharajpura
364,satlon
365,himmatpura
366,thakurpura
367,hasanpur
368,lakhanpur
369,sitapur
370,basai
371,hirapur
372,devgarh
373,sanora
374,barodi
375,rajpur
376,samawali
377,madguwan
378,panuha
379,khadrawani
380,biloni
381,nauner
382,rew
383,raipur sani
384,kamhar
385,pathari
386,hatlai
387,taka khurd
388,chhata
389,palipamari
390,satari
391,jighna
392,chirai
393,tiwari ka kua
394,dang karera
395,salaiya pamar
396,palothar
397,udgawan
398,bhagour
399,pisnari
400,khamera
401,bagedhari sani
402,dhankari
403,neguwan sani
404,kharag
405,garera
406,nunwaha
407,kudraya
408,senthri
409,parsondagoojar
410,kheridevta
411,fatepur
412,nimona
413,kherona
414,kudra
415,basith
416,chadhraua
417,pachorakhurd
418,kudari
419,laharawed
420,birsingpura
421,seguwan
422,jaroli
423,chapra
424,kanjoli
425,pacherabuzurg
426,barabuzurg
427,chakkbena
428,binori
429,baina
430,jonia
431,kulenth
432,kheronaghat
433,bilaspur
434,jaswantpura
435,andora
436,pachokhara
437,pahadishyam
438,barguwan
439,dohar
440,kherichachu
441,piparua
442,jaswantpur
443,pahadirawat
444,laharakalan
445,itarora
446,sikari
447,anandpur
448,badehari
449,delua
450,durgapur
451,ronni
452,raruajiwan
453,padri
454,kuthonda
455,surapara
456,khiriya
457,amawali
458,mahonajat
459,husenpura
460,dabhera
461,loch
462,khadaua
463,govindnagar
464,dhimaryau
465,tigroo
466,chitai
467,toda
468,danguchad
469,ramgarha
470,chimghan
471,roora
472,bhadol
473,seoni
474,nandana
475,ramdeva
476,bahera
477,simthara
478,katapur
479,bandapara
480,jiginiya
481,chhenkuri
482,jaitpura
483,bharroli
484,pipra
485,barjorpura
486,teekar
487,syawari
488,mau
489,uchad
490,tiletha
491,kurra
492,khirka
493,silori
494,bharsula
495,bhadona
496,sunari
497,khajoori
498,jujharpur
499,sundarpura
500,dhirpura
501,gohana
502,theli
503,ikona
504,tigra
505,raruarai
506,chhikau
507,khaikheda
508,degawangoojar
509,dhanoli
510,chakdhanoli
511,chakunchiya
512,unchiya
513,murgawan
514,ranipura
515,lodhipura
516,peepri
517,bagpura
518,bagurdan proj
519,bagurdan siddha
520,joura
521,kitana
522,ruhera
523,neemdanda
524,meoli
525,kaserua
526,bhikampura
527,bijora
528,amra
529,gumanpura
530,magrol
531,balampura
532,tuki
533,sad
534,gyara
535,rajapura
536,baghwali
537,dirolipar
538,chanderia
539,bareja chak
540,lokendrapur
541,sitapur
542,chitai
543,nanat
544,khamroli
545,dongarpur
546,pali
547,medpura
548,dangseondha
549,jaswantnagar
550,jara
551,dangkachhar
552,madanpura
553,nandpur
554,daryaopur
555,mahewa
556,maharajpura
557,hetampura
558,sirsa
559,raniyapura
560,deopura
561,kheribhat
562,repoli
563,mubarikpura
564,rampurabuzurg
565,jorital
566,gandhigram
567,basturi
568,dabhni
569,shikarpura
570,dirolidang
571,bisor
572,nahla
573,berchha
574,budhera
575,kunwarpura
576,madikhera
577,atreta
578,basaimalak
579,bahadurpur
580,marsenikhurd
581,bhensai
582,vyaspura
